frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url
115,0.000832934747,2.9884488e-05,0.0001251905,3.87033225e-07,5.277049e-06,0.688912749,0.310091734,1.86087129e-06,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___115.jpg
116,0.0009603708,4.482719e-05,8.866858e-05,2.99610974e-07,2.63038214e-06,0.685734749,0.31316638,2.06891536e-06,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___116.jpg
117,0.047878053,0.00643107854,0.007014972,9.41129838e-05,5.025279e-05,0.9251899,0.0115758749,0.00176572381,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___117.jpg
118,0.0196195114,0.000881067535,0.006441778,0.000114185037,2.37586446e-05,0.9181688,0.04152714,0.0132237729,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___118.jpg
119,0.0445804857,0.000547322154,0.008056805,0.0003532032,1.26160094e-05,0.822035134,0.12030454,0.00410989532,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___119.jpg
120,0.007261034,0.000310475065,0.00241742539,0.000467960432,1.551323e-05,0.8026494,0.18104057,0.00583764957,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___120.jpg
121,0.0027512128,5.82966859e-05,0.000292548939,1.04105914e-06,1.56131023e-06,0.695744634,0.3011355,1.5184065e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___121.jpg
122,0.00180565228,6.845484e-05,0.00025821483,2.37914719e-06,4.817353e-06,0.7814673,0.216362566,3.05787762e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___122.jpg
123,0.00353052281,0.000109438253,0.000275838654,5.653406e-06,4.234997e-06,0.6959053,0.3001335,3.54744843e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___123.jpg
124,0.00198006164,8.37009138e-05,0.0005998267,2.9531725e-06,4.176382e-06,0.690614641,0.306674451,4.01656544e-05,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___124.jpg
125,0.0151902689,0.0003093768,0.00624652347,3.15673569e-05,7.058275e-06,0.836387634,0.140982613,0.0008449849,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___125.jpg
126,0.115891665,0.001071745,0.0407407,0.00142169441,2.43400627e-05,0.6316157,0.204793721,0.00444042124,https://s3.amazonaws.com/100daysofspice/4_11_17/4_11_17___126.jpg
