frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,date
103,0.052514963,0.003705791,0.01208404,0.001412974,0.000149291,0.8180246,0.007101416,0.105006941,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___103.jpg,1_24_17
104,0.000937361,0.000387494,0.00058917,7.11E-06,0.000108914,0.7570059,0.240867853,9.63E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___104.jpg,1_24_17
105,0.222309023,0.013683482,0.034380823,0.000972053,0.000620005,0.685805,0.005177478,0.037052106,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___105.jpg,1_24_17
106,0.022879757,0.001474446,0.01176734,0.000233294,0.000344174,0.921230257,0.029605923,0.012464815,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___106.jpg,1_24_17
107,0.040575262,0.005039236,0.016156865,0.000113898,0.000431814,0.909914732,0.006179078,0.02158912,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___107.jpg,1_24_17
108,0.09887504,0.002207411,0.000851817,3.08E-05,7.79E-07,0.88707757,0.010634317,0.000322226,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___108.jpg,1_24_17
109,0.000753283,0.000213187,0.000266191,5.54E-07,1.32E-05,0.829493,0.169247627,1.30E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___109.jpg,1_24_17
110,0.029174607,0.001036521,0.014107057,0.000884261,2.43E-05,0.735100448,0.211164877,0.008507924,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___110.jpg,1_24_17
111,0.00221895,0.000128484,0.00133061,3.19E-05,1.16E-05,0.6172062,0.378636152,0.000436015,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___111.jpg,1_24_17
112,0.000223982,2.40E-05,1.99E-05,5.91E-08,1.72E-05,0.875972867,0.123740606,1.41E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___112.jpg,1_24_17
113,0.003053178,0.000996834,0.003175148,8.43E-05,1.09E-05,0.7570033,0.233825326,0.001851002,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___113.jpg,1_24_17
114,0.038894676,0.002286687,0.014530595,0.00149455,3.96E-05,0.8308756,0.011866177,0.100012138,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___114.jpg,1_24_17
115,0.002642958,0.000432218,0.001237386,1.63E-05,0.000107472,0.6613722,0.3340751,0.000116348,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___115.jpg,1_24_17
116,0.129012927,0.009430226,0.009073094,0.00053317,5.72E-05,0.8201612,0.012395608,0.019336542,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___116.jpg,1_24_17
117,0.540048063,0.00073915,0.00677516,0.000625571,0.000158506,0.148872271,9.28E-05,0.302688539,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___117.jpg,1_24_17
118,0.001459657,0.000690704,0.000694151,3.66E-06,0.002095062,0.8752267,0.119798213,3.19E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___118.jpg,1_24_17
119,0.014531485,0.000239985,0.001368552,1.05E-06,3.21E-06,0.584904134,0.398949116,2.47E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___119.jpg,1_24_17
120,0.004230212,0.001715184,0.004115701,6.61E-05,0.000446023,0.568043649,0.421228975,0.000154166,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___120.jpg,1_24_17
121,0.003330266,0.000143289,0.000542989,6.90E-07,1.60E-05,0.7537269,0.242236018,3.83E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___121.jpg,1_24_17
122,0.001716036,0.000293845,8.99E-05,9.19E-08,2.58E-05,0.8890965,0.108776532,1.26E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___122.jpg,1_24_17
123,0.006525547,0.001615168,0.000993453,3.70E-06,8.04E-05,0.716729462,0.274036735,1.55E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___123.jpg,1_24_17
124,0.000575054,0.000192786,0.000118083,1.97E-07,2.08E-05,0.8815851,0.117504664,3.24E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___124.jpg,1_24_17
125,0.003020355,0.000168529,0.001002545,2.27E-06,0.000104876,0.732515335,0.2631754,1.07E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___125.jpg,1_24_17
126,0.001328541,8.01E-05,0.00012312,1.19E-07,1.00E-05,0.836384535,0.162071273,2.30E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___126.jpg,1_24_17
127,0.017448831,0.001072574,0.01043806,0.00019437,0.000130409,0.7818223,0.186981782,0.001911629,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___127.jpg,1_24_17
128,0.014784404,0.000666346,0.007762148,0.000162137,0.000121418,0.862589657,0.108663,0.005250915,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___128.jpg,1_24_17
129,0.097411856,0.005012508,0.01008857,0.00150454,0.000127176,0.837177932,0.010640088,0.038037323,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___129.jpg,1_24_17
130,0.002230686,1.80E-05,0.000436819,1.80E-06,1.19E-05,0.8446032,0.152680442,1.72E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___130.jpg,1_24_17
131,0.001858587,0.000127255,0.001107229,3.86E-06,4.57E-05,0.902328,0.094385535,0.00014376,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___131.jpg,1_24_17
132,0.000659657,5.76E-05,0.000151242,1.04E-06,3.26E-05,0.7375579,0.26151678,2.32E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___132.jpg,1_24_17
133,0.013681077,0.002963959,0.000163015,5.97E-06,1.50E-05,0.97996527,0.003095539,0.000110237,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___133.jpg,1_24_17
134,0.02329181,0.00086582,0.010518986,0.000244655,0.000315679,0.7377368,0.225308582,0.001717672,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___134.jpg,1_24_17
135,0.001683906,0.000101038,0.000369862,1.56E-06,2.51E-05,0.8050607,0.19273147,2.64E-05,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___135.jpg,1_24_17
136,0.000661169,0.0001453,0.000167806,3.00E-07,8.78E-05,0.848339736,0.1505941,3.78E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___136.jpg,1_24_17
137,0.00450754,0.000200911,0.001869492,6.82E-06,4.64E-05,0.9149886,0.07799254,0.000387702,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___137.jpg,1_24_17
138,0.001436563,6.09E-05,0.000628973,1.71E-07,1.09E-05,0.60480696,0.393054277,1.22E-06,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___138.jpg,1_24_17
139,0.003931859,0.000254175,0.002586477,2.22E-05,6.36E-05,0.7106192,0.28231132,0.000211096,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___139.jpg,1_24_17
140,0.004040821,0.000400415,0.003809815,0.000355989,8.05E-05,0.7985505,0.187155381,0.0056066,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___140.jpg,1_24_17
141,0.141475871,0.011758221,0.01483706,0.000254059,0.000369958,0.8023016,0.002951463,0.026051775,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___141.jpg,1_24_17
142,0.003145406,0.000462509,0.002724329,1.82E-05,0.000216823,0.7346828,0.2586309,0.000118978,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___142.jpg,1_24_17
143,0.000747014,2.58E-06,8.94E-05,2.42E-08,2.80E-07,0.5578696,0.441291,9.19E-08,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___143.jpg,1_24_17
144,0.00214214,1.80E-05,0.000120108,3.08E-08,7.97E-07,0.3902144,0.6075045,5.08E-08,https://s3.amazonaws.com/100daysofspice/1_24_17/1_24_17___144.jpg,1_24_17
