frame_time,sean_anger,sean_contempt,sean_disgust,sean_fear,sean_happiness,sean_neutral,sean_sadness,sean_surprise,url,date
95,0.025278779,0.007483618,0.00160247,0.000232641,5.58E-05,0.953349531,0.0065121,0.005485041,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___95.jpg,1_23_17
96,0.001868981,0.000242032,0.000416059,2.51E-06,1.32E-05,0.7252039,0.272224426,2.90E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___96.jpg,1_23_17
97,0.03121553,0.00048522,0.009368437,0.00048275,2.80E-05,0.8644094,0.043218326,0.050792385,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___97.jpg,1_23_17
98,0.009987501,0.000495366,0.005695386,0.000113385,0.000202966,0.931376159,0.044698507,0.007430742,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___98.jpg,1_23_17
99,0.000689138,0.00032082,0.0001112,2.99E-07,1.98E-05,0.8560783,0.142773092,7.28E-06,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___99.jpg,1_23_17
100,0.07169566,0.009280033,0.014368441,0.001211293,0.00068716,0.8331001,0.006323075,0.06333423,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___100.jpg,1_23_17
101,0.002002392,0.000234798,0.000896737,1.11E-05,0.000194826,0.767923951,0.228654578,8.16E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___101.jpg,1_23_17
102,0.001671535,0.000191811,0.00072268,1.17E-06,4.38E-05,0.6983993,0.298960865,8.89E-06,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___102.jpg,1_23_17
103,0.00180026,0.000275301,0.000736397,4.12E-06,2.26E-05,0.7123738,0.284726918,6.06E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___103.jpg,1_23_17
104,0.011259297,0.000518418,0.013504947,0.000167551,0.000160845,0.8517155,0.1194801,0.003193321,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___104.jpg,1_23_17
105,0.07228836,0.004710256,0.001891398,7.61E-05,1.14E-05,0.913490236,0.005325847,0.002206352,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___105.jpg,1_23_17
106,0.010547129,0.00054476,0.0034352,0.000110919,0.000159766,0.909745932,0.07382359,0.001632703,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___106.jpg,1_23_17
107,0.016499803,0.000532564,0.005329197,9.03E-05,5.65E-05,0.794598,0.182251051,0.000642667,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___107.jpg,1_23_17
108,0.115238734,0.001808798,0.019668018,9.30E-05,0.00303081,0.6858796,0.000766967,0.173514128,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___108.jpg,1_23_17
109,0.2756038,0.006330457,0.0716119,0.000703364,0.000230173,0.5855799,0.012757701,0.047182728,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___109.jpg,1_23_17
110,0.237556532,0.003473133,0.023145536,3.86E-05,0.000231415,0.6778356,0.000636605,0.057082553,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___110.jpg,1_23_17
111,0.06367046,0.015144289,0.031185035,0.001897161,0.000208932,0.720256031,0.012004226,0.155633852,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___111.jpg,1_23_17
112,0.000979716,0.000278604,0.000498044,3.09E-06,0.000440207,0.880456448,0.117246278,9.76E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___112.jpg,1_23_17
113,0.002922277,0.00030613,0.001061069,1.71E-05,6.86E-05,0.760402143,0.2349175,0.000305152,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___113.jpg,1_23_17
114,0.010913813,0.000385667,0.003545478,4.96E-05,0.00018419,0.91293,0.070604146,0.0013871,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___114.jpg,1_23_17
115,0.000245009,3.90E-05,7.05E-05,2.29E-07,1.22E-05,0.8103065,0.189316764,9.82E-06,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___115.jpg,1_23_17
116,0.001521271,0.00016521,0.000383177,5.43E-06,4.95E-05,0.8672205,0.130568609,8.63E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___116.jpg,1_23_17
117,0.005437156,0.000403381,0.001405336,1.04E-05,1.29E-05,0.795597255,0.197024435,0.000109176,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___117.jpg,1_23_17
118,0.001733241,0.000945826,7.66E-05,1.68E-07,4.78E-07,0.996665061,0.000561317,1.74E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___118.jpg,1_23_17
119,0.017297208,0.002124038,0.011922747,0.00032897,0.002560022,0.6906888,0.002547847,0.272530377,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___119.jpg,1_23_17
120,0.03056434,0.002442102,0.009733018,0.002034571,0.001253567,0.590918362,0.010146685,0.35290733,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___120.jpg,1_23_17
121,0.000206244,1.37E-05,8.00E-05,1.54E-07,5.42E-06,0.7752717,0.224418208,4.64E-06,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___121.jpg,1_23_17
122,0.000702801,6.65E-05,0.000205462,1.56E-06,2.05E-05,0.8628709,0.136086747,4.56E-05,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___122.jpg,1_23_17
123,0.000583063,0.000109502,0.000302672,8.43E-07,3.97E-05,0.665540934,0.3334139,9.42E-06,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___123.jpg,1_23_17
124,0.002395493,0.000122045,0.001620328,3.63E-05,0.000155841,0.907396734,0.08663821,0.001635074,https://s3.amazonaws.com/100daysofspice/1_23_17/1_23_17___124.jpg,1_23_17
